Region,Province,City_Mun,Storm Name,Category,Days occur,Year, Affected_FAM ,Totally damaged house,Partially damaged house,,Region,,Year,,Region,Province,Municipality,Magnitude,Incident,Year,Affected Population_FAM,Totally House,Partially House,,Cyclone Name,Category,Days cccur,,CYCLONE DATA,,,,,,,EARTHQUAKE DATA,,,,,,,,,,,,,,,,,,,,,
REGION XIII (CARAGA),Agusan Del Norte,City of Butuan (capital),Amang,Tropical Depression,2 3/4,19/01/2019, 269 ,0,0,,CORDILLERA ADMINISTRATIVE REGION (CAR),,19/01/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Bansalan,6.6,Tulunan 6.6 EQ,29/10/2019,"7,060","1,145","2,530",,Amang,Tropical Depression,2 3/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION XIII (CARAGA),Agusan Del Norte,Jabonga,Amang,Tropical Depression,2 3/4,19/01/2019, 14 ,0,0,,MIMAROPA REGION,,19/01/2019,,REGION XI (DAVAO REGION),Davao Del Sur,City Of Digos (Capital),6.6,Tulunan 6.6 EQ,29/10/2019,"2,044",0,0,,Chedeng,Tropical Depression,2 1/4,,,Affected Families,,Province,Partial damage,Total damage,,Province,Affected Population per Family,,Province,Partial Damage,Total Damage,,Magnitude,,,,,,,,,,,,,,
REGION XIII (CARAGA),Agusan Del Sur,La Paz,Amang,Tropical Depression,2 3/4,19/01/2019," 1,386 ",0,0,,REGION I (ILOCOS REGION),,19/01/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Hagonoy,6.6,Tulunan 6.6 EQ,29/10/2019,"1,480",179,663,,Egay,Tropical Depression,4    ,,Biliran,"32,091",,Biliran,"22,221","2,418",,Eastern Samar,33,,Eastern Samar,33,0,,5.4,,,,,,,,,,,,,,
REGION XIII (CARAGA),Agusan Del Sur,Talacogon,Amang,Tropical Depression,2 3/4,19/01/2019, 777 ,0,0,,REGION II (CAGAYAN VALLEY),,19/01/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Kiblawan,6.6,Tulunan 6.6 EQ,29/10/2019,456,18,34,,Falcon,Tropical Storm,3 5/6,,Eastern Samar,"75,632",,Eastern Samar,"44,415","5,008",,Samar (Western Samar),219,,Samar (Western Samar),211,1,,Batanes,,,,,,,,,,,,,,
REGION XIII (CARAGA),Dinagat Islands,Basilisa (Rizal),Amang,Tropical Depression,2 3/4,19/01/2019, 75 ,0,0,,REGION III (CENTRAL LUZON),,19/01/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Magsaysay,6.6,Tulunan 6.6 EQ,29/10/2019,"9,331","1,609","5,793",,Hanna,Tropical Storm,5 3/7,,Leyte,"194,615",,Leyte,"124,666","7,060",,Grand Total,252,,Grand Total,244,1,,5.5,,,,,,,,,,,,,,
REGION XIII (CARAGA),Dinagat Islands,San Jose (capital),Amang,Tropical Depression,2 3/4,19/01/2019, 91 ,0,0,,REGION IV-A (CALABARZON),,19/01/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Malalag,6.6,Tulunan 6.6 EQ,29/10/2019,491,0,0,,Ineng,Tropical Storm,4 2/3,,Northern Samar,"149,330",,Northern Samar,"112,387","10,545",,,,,,,,,Surigao Del Sur,,,,,,,,,,,,,,
REGION XIII (CARAGA),Surigao Del Norte,Claver,Amang,Tropical Depression,2 3/4,19/01/2019, 241 ,0,0,,REGION IX (ZAMBOANGA PENINSULA),,19/01/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Matanao,6.6,Tulunan 6.6 EQ,29/10/2019,"3,852",68,657,,Jenny,Tropical Storm,2 2/3,,Samar (Western Samar),"121,350",,Samar (Western Samar),"54,195","4,404",,,,,,,,,5.6,,,,,,,,,,,,,,
REGION XIII (CARAGA),Surigao Del Norte,General Luna,Amang,Tropical Depression,2 3/4,19/01/2019, 29 ,0,0,,REGION V (BICOL REGION),,19/01/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Padada,6.6,Tulunan 6.6 EQ,29/10/2019,714,165,210,,Kabayan,Tropical Depression, 1/2,,Grand Total,"573,018",,Grand Total,357884,29435,,,,,,,,,Cotabato (North Cotabato),,,,,,,,,,,,,,
REGION XIII (CARAGA),Surigao Del Norte,Gigaquit,Amang,Tropical Depression,2 3/4,19/01/2019, 89 ,0,0,,REGION VI (WESTERN VISAYAS),,19/01/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Santa Cruz,6.6,Tulunan 6.6 EQ,29/10/2019,38,2,9,,Marilyn,Tropical Depression,2 4/5,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,
REGION XIII (CARAGA),Surigao Del Norte,Malimono,Amang,Tropical Depression,2 3/4,19/01/2019, 251 ,0,0,,REGION VII (CENTRAL VISAYAS),,19/01/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Sulop,6.6,Tulunan 6.6 EQ,29/10/2019,150,54,96,,Nimfa,Tropical Storm,3 3/4,,,,,,,,,,,,,,,,Bukidnon,,,,,,,,,,,,,,
